time_s,manifest_id,frequency_Hz_DG1,frequency_Hz_DG2,frequency_Hz_DG3,frequency_Hz_DG4,frequency_error_Hz_DG1,frequency_error_Hz_DG2,frequency_error_Hz_DG3,frequency_error_Hz_DG4,ppc_boundary_Hz_DG1,ppc_boundary_Hz_DG2,ppc_boundary_Hz_DG3,ppc_boundary_Hz_DG4
11.83,f27c2278f5bdb77b,50.0022571305762,50.0024981561851,50.0014023279424,50.0015739801918,0.00225713057616872,0.00249815618510496,0.00140232794241513,0.00157398019180022,0.02,0.02,0.02,0.02
11.835,f27c2278f5bdb77b,50.0022605849463,50.0025024736972,50.0014051035133,50.0015771557021,0.00226058494626358,0.00250247369717016,0.00140510351327805,0.00157715570213668,0.02,0.02,0.02,0.02
11.84,f27c2278f5bdb77b,50.0022640271736,50.0025067767521,50.0014078690971,50.0015803201741,0.0022640271735952,0.00250677675212785,0.00140786909707913,0.00158032017407095,0.02,0.02,0.02,0.02
11.845,f27c2278f5bdb77b,50.002267457236,50.0025110653215,50.0014106246758,50.0015834735868,0.00226745723603727,0.00251106532154211,0.00141062467584874,0.00158347358679833,0.02,0.02,0.02,0.02
11.85,f27c2278f5bdb77b,50.0022708751115,50.002515339377,50.0014133702317,50.0015866159196,0.00227087511149193,0.00251533937704806,0.0014133702316883,0.0015866159195923,0.02,0.02,0.02,0.02
11.855,f27c2278f5bdb77b,50.0022742807779,50.0025195988903,50.0014161057467,50.0015897471518,0.00227428077789682,0.0025195988903377,0.001416105746749,0.00158974715181159,0.02,0.02,0.02,0.02
11.86,f27c2278f5bdb77b,50.0022776742132,50.0025238438331,50.0014188312033,50.0015928672629,0.0022776742132109,0.00252384383312432,0.00141883120328856,0.00159286726291441,0.02,0.02,0.02,0.02
11.865,f27c2278f5bdb77b,50.0022810553954,50.0025280741772,50.0014215465836,50.0015959762325,0.00228105539538603,0.00252807417719225,0.00142154658362159,0.00159597623247265,0.02,0.02,0.02,0.02
11.87,f27c2278f5bdb77b,50.0022844243023,50.0025322898943,50.0014242518702,50.0015990740402,0.00228442430233855,0.00253228989434007,0.00142425187016926,0.001599074040179,0.02,0.02,0.02,0.02
11.875,f27c2278f5bdb77b,50.002287780912,50.0025364909564,50.0014269470454,50.0016021606659,0.00228778091199189,0.00253649095640185,0.00142694704543089,0.00160216066587537,0.02,0.02,0.02,0.02
11.88,f27c2278f5bdb77b,50.0022911252022,50.0025406773353,50.001429632092,50.0016052360895,0.00229112520220554,0.00254067733525432,0.00142963209201952,0.00160523608952445,0.02,0.02,0.02,0.02
11.885,f27c2278f5bdb77b,50.0022944571508,50.0025448490028,50.0014323069926,50.0016083002912,0.00229445715080345,0.00254484900278129,0.00143230699262631,0.00160830029123815,0.02,0.02,0.02,0.02
11.89,f27c2278f5bdb77b,50.0022977767356,50.0025490059309,50.00143497173,50.0016113532513,0.00229777673556697,0.00254900593088792,0.00143497173004903,0.00161135325127759,0.02,0.02,0.02,0.02
11.895,f27c2278f5bdb77b,50.0023010839342,50.0025531480915,50.0014376262872,50.0016143949501,0.00230108393422057,0.00255314809152907,0.00143762628717781,0.00161439495005311,0.02,0.02,0.02,0.02
11.9,f27c2278f5bdb77b,50.0023043787245,50.0025572754567,50.001440270647,50.0016174253681,0.00230437872446032,0.00255727545665252,0.00144027064701646,0.00161742536813136,0.02,0.02,0.02,0.02
11.905,f27c2278f5bdb77b,50.0023076610839,50.0025613879982,50.0014429047927,50.0016204444862,0.00230766108391833,0.00256138799824868,0.00144290479265408,0.00162044448620691,0.02,0.02,0.02,0.02
11.91,f27c2278f5bdb77b,50.0023109309902,50.0025654856884,50.0014455287073,50.0016234522851,0.00231093099020541,0.00256548568835058,0.0014455287072721,0.0016234522851164,0.02,0.02,0.02,0.02
11.915,f27c2278f5bdb77b,50.0023141884209,50.002569568499,50.0014481423742,50.0016264487458,0.00231418842092523,0.00256956849900547,0.00144814237415147,0.00162644874583151,0.02,0.02,0.02,0.02
11.92,f27c2278f5bdb77b,50.0023174333536,50.0025736364023,50.0014507457766,50.0016294338494,0.00231743335364598,0.00257363640231034,0.00145074577664417,0.00162943384944469,0.02,0.02,0.02,0.02
11.925,f27c2278f5bdb77b,50.002320665766,50.0025776893704,50.0014533388982,50.0016324075772,0.00232066576595713,0.00257768937042613,0.00145333889820165,0.0016324075771621,0.02,0.02,0.02,0.02
11.93,f27c2278f5bdb77b,50.0023238856355,50.0025817273755,50.0014559217223,50.0016353699103,0.00232388563546948,0.00258172737554219,0.00145592172233222,0.00163536991028224,0.02,0.02,0.02,0.02
11.935,f27c2278f5bdb77b,50.0023270929398,50.0025857503899,50.0014584942326,50.0016383208302,0.00232709293982225,0.00258575038992603,0.00145849423262945,0.00163832083018889,0.02,0.02,0.02,0.02
