time_s,V1,V2,V3,V4,Vdot1,Vdot2,Vdot3,Vdot4,omega1,omega2,omega3,omega4,delta1,delta2,delta3,delta4,pV1,pV2,pV3,pV4,qV1,qV2,qV3,qV4,pW1,pW2,pW3,pW4,qW1,qW2,qW3,qW4
14.095,0.99999981263358,0.999999805327843,0.99999985793592,0.999999826050261,-4.16019621525799e-06,-3.92372496324078e-06,-3.99369523247473e-06,-4.12580744289251e-06,4.74029447608764e-05,5.39231789308903e-05,2.96402578249223e-05,3.39812463916705e-05,0.00731190807381345,0.00411066140387516,-0.00137103209691607,-0.00564362132300852,-0.00103716523748097,-0.00104117322405002,-0.00102994599470268,-0.00103397279176049,-0.00103716523748097,-0.00104117322405002,-0.00102994599470268,-0.00103397279176049,-0.000517398404623232,-0.000234346111777332,0.000190715843106862,0.000394559331851356,-0.000517398404623232,-0.000234346111777332,0.000190715843106862,0.000394559331851356
14.1,0.999999793353223,0.999999787562117,0.99999983935935,0.99999980714052,-3.53559224999678e-06,-3.16722128690372e-06,-3.42104702044371e-06,-3.42176395024338e-06,4.73417115512883e-05,5.38506815564847e-05,2.95904875904509e-05,3.39269102859357e-05,0.0073121449355644,0.00411093083866276,-0.00137088401996401,-0.00564345155251681,-0.00104175760344031,-0.00104561275797372,-0.00103431706293377,-0.00103857970095433,-0.00104175760344031,-0.00104561275797372,-0.00103431706293377,-0.00103857970095433,-0.000517392117990332,-0.000234363720875632,0.000190733136268318,0.000394557716949121,-0.000517392117990332,-0.000234363720875632,0.000190733136268318,0.000394557716949121
14.105,0.999999777427628,0.99999977379261,0.999999823871879,0.999999791980556,-2.82108471923504e-06,-2.32860351399491e-06,-2.76061858204684e-06,-2.62903835998516e-06,4.72802141246003e-05,5.37778571005636e-05,2.95405050716873e-05,3.38723343395227e-05,0.0073123814904886,0.00411119991014559,-0.00137073619239397,-0.00564328205430539,-0.00104576372372346,-0.00104932277104665,-0.00103815495653814,-0.00104251634754536,-0.00104576372372346,-0.00104932277104665,-0.00103815495653814,-0.00104251634754536,-0.000517385843207513,-0.000234381302617288,0.000190750414747685,0.000394556105767963,-0.000517385843207513,-0.000234381302617288,0.000190750414747685,0.000394556105767963
14.11,0.999999765262554,0.999999764377708,0.999999811872152,0.999999780964817,-2.03453441546016e-06,-1.42906545886109e-06,-2.02886074137153e-06,-1.76756592669693e-06,4.72184528646249e-05,5.37047060581248e-05,2.94903106038966e-05,3.38175189363756e-05,0.00731261773726592,0.00411146861668946,-0.00137058861526654,-0.00564311282957251,-0.0010490824045884,-0.00105220770803515,-0.00104136172890257,-0.00104568132134323,-0.0010490824045884,-0.00105220770803515,-0.00104136172890257,-0.00104568132134323,-0.000517379580880625,-0.000234398857198227,0.000190767678617486,0.000394554498656114,-0.000517379580880625,-0.000234398857198227,0.000190767678617486,0.000394554498656114
14.115,0.999999757169491,0.999999759565486,0.999999803671691,0.999999774383261,-1.19570800417292e-06,-4.9144526621578e-07,-1.24409917144044e-06,-8.59118694182198e-07,4.71564281588165e-05,5.36312289272416e-05,2.94399045229533e-05,3.37624644609171e-05,0.00731285367457817,0.00411173695666269,-0.00137044128964062,-0.00564294387951448,-0.00105162957782826,-0.0010541928081537,-0.00104385509997278,-0.00104799255852616,-0.00105162957782826,-0.0010541928081537,-0.00104385509997278,-0.00104799255852616,-0.000517373331594069,-0.000234416384806956,0.00019078492794086,0.000394552895948858,-0.000517373331594069,-0.000234416384806956,0.00019078492794086,0.000394552895948858
14.12,0.999999753357357,0.999999759486915,0.999999799486649,0.999999772413531,-3.25781547848892e-07,4.60354156914154e-07,-4.26075768424308e-07,7.32444371252809e-08,4.70941403990597e-05,5.35574262093894e-05,2.93892871650598e-05,3.37071712974532e-05,0.00731308930110908,0.00411200492843608,-0.00137029421657344,-0.00564277520532572,-0.00105334051004029,-0.00105522610357397,-0.00104557060566743,-0.00104938951717201,-0.00105334051004029,-0.00105522610357397,-0.00104557060566743,-0.00104938951717201,-0.000517367095898544,-0.000234433885619433,0.000190802162767187,0.000394551297959417,-0.000517367095898544,-0.000234433885619433,0.000190802162767187,0.000394551297959417
14.125,0.999999753926776,0.999999764152054,0.999999799431957,0.999999775115971,5.53193820245171e-07,1.40197427019501e-06,4.04547678786398e-07,1.00576272246067e-06,4.7031589982392e-05,5.34832984097472e-05,2.93384588664915e-05,3.36516398296191e-05,0.0073133246155444,0.00411227253038298,-0.00137014739712054,-0.00564260680819868,-0.00105417152761543,-0.00105527984089027,-0.00104646330267276,-0.00104983481057561,-0.00105417152761543,-0.00105527984089027,-0.00104646330267276,-0.00104983481057561,-0.000517360874299613,-0.000234451359794255,0.000190819383128073,0.000394549704970373,-0.000517360874299613,-0.000234451359794255,0.000190819383128073,0.000394549704970373
14.13,0.999999758867086,0.999999773449331,0.99999980351802,0.999999782431628,1.41885060002305e-06,2.30922407592159e-06,1.22671105462066e-06,1.91457883159085e-06,4.69687773116468e-05,5.34088460374679e-05,2.92874199633733e-05,3.35958704398814e-05,0.00731355961657182,0.00411253976087923,-0.00137000083233578,-0.00564243868932396,-0.00105410121163733,-0.00105435128679578,-0.00104650898367513,-0.00104931525441966,-0.00105410121163733,-0.00105435128679578,-0.00104650898367513,-0.00104931525441966,-0.000517354667247363,-0.00023446880746827,0.000190836589033761,0.000394548117225834,-0.000517354667247363,-0.00023446880746827,0.000190836589033761,0.000394548117225834
14.135,0.999999768056182,0.999999787147932,0.999999811650057,0.999999794183289,2.24907385951831e-06,3.1587014066139e-06,2.01948956188833e-06,2.7763489455109e-06,4.69057027959956e-05,5.33340696059092e-05,2.92361707914959e-05,3.35398635091089e-05,0.0073137943028811,0.00411280661830325,-0.00136985452327136,-0.00564227084989019,-0.00105313103012761,-0.00105246289492269,-0.0010457048702991,-0.00104784229873585,-0.00105313103012761,-0.00105246289492269,-0.0010457048702991,-0.00104784229873585,-0.000517348475127458,-0.000234486228752734,0.000190853780470089,0.000394546534924548,-0.000517348475127458,-0.000234486228752734,0.000190853780470089,0.000394546534924548
14.14,0.999999781263198,0.999999804903267,0.999999823630114,0.999999810079563,3.02256593919555e-06,3.9283963756392e-06,2.76262593330006e-06,3.56884209769141e-06,4.68423668513781e-05,5.32589696328183e-05,2.91847116861745e-05,3.34836194162232e-05,0.00731402867316406,0.00411307310103605,-0.00136970847097776,-0.00564210329108413,-0.00105128538941478,-0.00104966182704564,-0.00104406976423817,-0.00104545183115575,-0.00105128538941478,-0.00104966182704564,-0.00104406976423817,-0.00104545183115575,-0.000517342298253791,-0.000234503623730116,0.000190870957396062,0.000394544958214159,-0.000517342298253791,-0.000234503623730116,0.000190870957396062,0.000394544958214159
