time_s,V1,V2,V3,Vdot1,Vdot2,Vdot3,omega1,omega2,omega3,delta1,delta2,delta3,pV1,pV2,pV3,qV1,qV2,qV3,pW1,pW2,pW3,qW1,qW2,qW3
0.58,0.965295342561754,1.03048185306786,0.976848810022587,0.267020341272527,-0.239934570775397,0.111064041503388,0.000397635123197636,0.00204552567595041,-0.000407590935907502,0.0217395650082731,-0.00993953978736806,0.000349055391704109,-0.212665885509584,0.163488606520208,-0.0852528487897251,-0.218562300645858,0.168402285800437,-0.0891837922139076,-0.0029918148361003,0.00408332230891839,0.000196796806559575,-0.00692275826028285,0.00703152987705531,-0.0017686749055317
0.585,0.966649573599775,1.0292673419433,0.977413521606078,0.274630803310179,-0.245833321334535,0.114808342323601,0.000390584458901124,0.00203891782815413,-0.000405024328029233,0.0217415353971061,-0.00992932848843115,0.000347023768999386,-0.215028487171236,0.165679810407134,-0.0870606216164229,-0.220808145465077,0.170496192318668,-0.0909137271456506,-0.00303900994380199,0.00413629725614753,0.000169587654334829,-0.00689211547302972,0.00702612640306832,-0.00175696511027903
0.59,0.968041229899829,1.02802389096304,0.977996767917686,0.281988867902331,-0.251509420794924,0.118477327915626,0.000383912909816473,0.00203185958497537,-0.000402257676331863,0.0217434714847047,-0.00991915135973096,0.000345005481824188,-0.217160296893762,0.167701662073041,-0.0887969929595814,-0.222825510285552,0.172422673232866,-0.0925738018874414,-0.00308543772393373,0.00418864796359335,0.000142774175444406,-0.00686224665179374,0.00702125465948835,-0.0017456302884856
0.595,0.969469026293182,1.02675262941489,0.978598163351566,0.2890853608418,-0.256956526624813,0.122067395131966,0.00037761030192101,0.0020243628386799,-0.000399296640801873,0.0217453751410905,-0.00990901062340562,0.000343001516203268,-0.219063522224203,0.169554793448405,-0.0904602111823554,-0.224616556874836,0.174182322323932,-0.094162234282777,-0.00313111288455897,0.00424038462993198,0.000116349418527481,-0.00683313598498053,0.00701690195524815,-0.0017346621316833
0.6,0.970931633218561,1.02545471724222,0.979217304421362,0.295911699694442,-0.262168719284652,0.125574995750689,0.000371666744678495,0.00201643922411885,-0.000396146776163394,0.0217472481861262,-0.0098989084427772,0.00034101283012563,-0.220740668325049,0.171240031523904,-0.0920486052082704,-0.226183745522425,0.175775929188384,-0.0956773233398547,-0.00317604981947517,0.00429151723719531,9.03065656019341e-05,-0.0068047679510594,0.00701305583588348,-0.00172405250019018
0.605,0.972427679683238,1.02413134292861,0.979853770047168,0.302459894017669,-0.267140502006292,0.128996641370178,0.000366072625060108,0.00200810012295243,-0.000392813534288126,0.0217490923909182,-0.00988884692362828,0.000339040354064771,-0.222194481274933,0.172758366848019,-0.0935605841844857,-0.227529778322508,0.177204447720998,-0.0971174488828687,-0.00322026261398221,0.00434205555463305,6.46389291544523e-05,-0.00677712731236531,0.00700970407842038,-0.0017137934200371
0.61,0.973955756215441,1.02278372138943,0.980507121866358,0.308722541727591,-0.271866798207213,0.132328908056209,0.000360818601418612,0.00199935666805431,-0.000389302266504283,0.0217509094791887,-0.00987882811545699,0.000337084991487128,-0.223427894061415,0.17411092278079,-0.0949946366639677,-0.228657545149145,0.178468965353899,-0.0984810707224545,-0.00326376505064187,0.00439200914260783,3.93399493038175e-05,-0.00675019910912868,0.00700683468647294,-0.00170387707993959
0.615,0.975514417789641,1.0214130918821,0.981176904566979,0.31469282193249,-0.276342946682959,0.13556844071787,0.000355895597229079,0.00199021974808397,-0.000385618225809057,0.0217527011286171,-0.00986885401270954,0.00033514761934923,-0.224443975321075,0.17529892558795,-0.0963493293230861,-0.229570072379125,0.179570673136326,-0.0997667273617864,-0.00330657061502689,0.00444138735652094,1.44031910353701e-05,-0.00672396865372721,0.00700443588554618,-0.00169429582831479
0.62,0.977102186707812,1.02002071594553,0.981862646242302,0.320364484540138,-0.280564694721398,0.138711957190995,0.000351294794710736,0.00198070001221314,-0.000381766568989216,0.0217544689721497,-0.0098589265559896,0.000333229088584009,-0.225245880772138,0.176323675414596,-0.0976233052333399,-0.23027047430768,0.180510836694215,-0.100973034257035,-0.00334869250145765,0.00449019935076599,-1.01776584953745e-05,-0.00669842152515288,0.00700249611853741,-0.00168504217034299
0.625,0.978717555421276,1.01860787537896,0.98256385876502,0.325731836929903,-0.284528189279756,0.141756252010003,0.000347007628345388,0.00197080787499183,-0.00037775235865444,0.0217562145992775,-0.00984904763324356,0.000331330224576735,-0.225836807191877,0.177186518137611,-0.0988152817077086,-0.230761907109322,0.181290768068815,-0.102098681652672,-0.00339014361872379,0.00453845408270708,-3.44087925920285e-05,-0.00667354356368705,0.00700100404142952,-0.00167610876507365
0.63,0.98035898927913,1.01717587026945,0.983280038179487,0.330789727958925,-0.28822996636032,0.144698199851258,0.000343025778308594,0.00196055352133858,-0.000373580565188095,0.0217579395572805,-0.00983921908092126,0.000329451827630993,-0.226219948714021,0.177888818061176,-0.0999240477435046,-0.231047525119003,0.181911798398661,-0.103142432013493,-0.00343093659578768,0.00458616031667763,-5.82962875816246e-05,-0.00664932086577619,0.00699994851916901,-0.00166748842257588
0.635,0.982024929190561,1.01572601707672,0.984010665110329,0.335533529546182,-0.291666938713494,0.147534758633329,0.000339341163830265,0.00194994691163929,-0.000369256068620075,0.0217596453524402,-0.0098294426851114,0.0003275946734251,-0.226398455158346,0.178431931389686,-0.10094846108461,-0.231130439145797,0.182375251379229,-0.104103117076244,-0.00347108378746643,0.00463332662799592,-8.18461053160224e-05,-0.00662573977910056,0.00699931862172151,-0.00165917410113309
0.64,0.983713794189475,1.01425964678342,0.984755205185661,0.33995911604979,-0.294836381988028,0.15026297226172,0.000335945936501646,0.0019389977869387,-0.000364783660426372,0.0217613334512181,-0.0098197201826513,0.000325759513459341,-0.226375392053707,0.178817180386843,-0.101887444926628,-0.231013676480315,0.182682417409016,-0.104979634544367,-0.00351059728008861,0.0046799614069928,-0.000105064095612499,-0.00660278689782765,0.00699910362029708,-0.00165115890448202
0.645,0.98542398389089,1.01277810311827,0.985513109473127,0.344062841622506,-0.297735919438002,0.152879973007819,0.000332832473545831,0.00192771567420833,-0.000360168045259971,0.0217630052814004,-0.00981005326221045,0.000323947075494389,-0.22615370197451,0.179045828108155,-0.102739984288822,-0.230700142215892,0.182834528309306,-0.105770944449742,-0.00354948889712163,0.00472607286304707,-0.000127955998635658,-0.00658044905804242,0.00699929298373766,-0.00164343607909605
0.65,0.98715388082938,1.0112827408591,0.986283814926899,0.347841515698506,-0.300363505284966,0.15538298351391,0.000329993371068944,0.00191610989167485,-0.000355413842617606,0.0217646622332093,-0.00980044356534758,0.000322158063981223,-0.225736166777025,0.179119053576117,-0.103505122076732,-0.230192581469895,0.182832732486842,-0.106476065205312,-0.00358777020476579,0.00477166902862361,-0.000150527447222731,-0.00655871333334603,0.00699987637505879,-0.00163599901151285
0.655,0.988901852670529,1.00977492422226,0.987066744843754,0.351292376731758,-0.302717406821552,0.157769318418112,0.000327421437308999,0.00190418955419285,-0.000350525588446874,0.0217663056603808,-0.00979089268754095,0.000320393160482868,-0.225125370293445,0.179037927252294,-0.104181954859178,-0.229493542063102,0.182678070393674,-0.107094069372282,-0.00362545251751034,0.00481675776330954,-0.000172783969154365,-0.00653756703061456,0.00700084364813771,-0.00162884122570647
0.66,0.990666254286908,1.00825602534447,0.987861309326311,0.354413064272939,-0.304796185330405,0.160036385595044,0.000325109685899278,0.0018919635786462,-0.000345507736698093,0.0217679368812085,-0.00978140217919172,0.000318653024088242,-0.224323661016319,0.178803386648011,-0.104769628382924,-0.228605337189712,0.182371450125839,-0.107624079165186,-0.00366254690364743,0.00486134675784328,-0.00019473098937297,-0.00651699768590959,0.0070021848445399,-0.00162195638050405
0.665,0.99244542969039,1.00672742286292,0.988666905751518,0.35720158943803,-0.30659867587929,0.16218168700982,0.000323051329162731,0.00187944068936248,-0.00034036466082523,0.0217695571795536,-0.00977197354660031,0.000316938291818366,-0.223333114281466,0.178416211904699,-0.105267332847691,-0.227530007586155,0.18191362299194,-0.108065261717484,-0.00369906419073917,0.00490544353813161,-0.00021637383215068,-0.00649699306053202,0.00700389019047624,-0.0016153382670471
0.67,0.994237713812837,1.00519050059912,0.989482919242422,0.359656303787514,-0.308123966040122,0.164202819184727,0.00032123977145357,0.00186662942352536,-0.000335100655240155,0.0217711678058216,-0.00976260825291558,0.000315249579025194,-0.222155493432021,0.177877001165785,-0.105674297963512,-0.226269282681287,0.181305158873507,-0.10841682412969,-0.00373501497103334,0.0049490554692496,-0.000237717723208963,-0.00647754113721101,0.00700595009388285,-0.0016089808062978
0.675,0.996041434127187,1.00364664635174,0.990308723141327,0.361775866600333,-0.309371373566328,0.166097473279516,0.00031966860256183,0.00185353813657,-0.000329719936724343,0.0217727699779062,-0.00975330771905711,0.000313587479783277,-0.220792209417564,0.17718614555381,-0.105989787811606,-0.224824540181959,0.180546421190806,-0.108678008321202,-0.00377040960682309,0.00499218975941846,-0.000258767791791912,-0.00645863011641955,0.0070083551416158,-0.00160287804659014
