time_s,manifest_id,voltage_V_DG1,voltage_V_DG2,voltage_V_DG3,voltage_V_DG4,voltage_error_V_DG1,voltage_error_V_DG2,voltage_error_V_DG3,voltage_error_V_DG4,ppc_boundary_V_DG1,ppc_boundary_V_DG2,ppc_boundary_V_DG3,ppc_boundary_V_DG4
10.865,f27c2278f5bdb77b,310.000064390956,310.000052619358,310.000040125443,310.000044735551,6.43909556288236e-05,5.26193577456979e-05,4.0125443490524e-05,4.47355506025815e-05,9.3,9.3,9.3,9.3
10.87,f27c2278f5bdb77b,310.000065144943,310.00005339039,310.000040818301,310.000045511359,6.5144942709594e-05,5.33903900077348e-05,4.08183010449648e-05,4.55113589055145e-05,9.3,9.3,9.3,9.3
10.875,f27c2278f5bdb77b,310.000065510042,310.000053762287,310.000041122168,310.000045891661,6.55100416224741e-05,5.37622873366672e-05,4.11221683407348e-05,4.58916611023596e-05,9.3,9.3,9.3,9.3
10.88,f27c2278f5bdb77b,310.000065476549,310.0000537248,310.000041028412,310.000045865862,6.54765494232379e-05,5.37248002387969e-05,4.10284116583171e-05,4.58658618640584e-05,9.3,9.3,9.3,9.3
10.885,f27c2278f5bdb77b,310.00006504489,310.000053278086,310.000040538513,310.000045433688,6.50448897090428e-05,5.32780862840809e-05,4.0538512735111e-05,4.54336875463923e-05,9.3,9.3,9.3,9.3
10.89,f27c2278f5bdb77b,310.00006422564,310.000052432747,310.000039664069,310.000044605233,6.42256401874874e-05,5.2432747054354e-05,3.96640686517458e-05,4.46052326878998e-05,9.3,9.3,9.3,9.3
10.895,f27c2278f5bdb77b,310.0000630393,310.000051209599,310.000038426532,310.000043400743,6.30393003575591e-05,5.12095986096028e-05,3.84265321144994e-05,4.34007430953898e-05,9.3,9.3,9.3,9.3
10.9,f27c2278f5bdb77b,310.000061515806,310.00004963918,310.0000368567,310.000041850138,6.15158061236798e-05,4.96391797923934e-05,3.68567002055897e-05,4.1850137563415e-05,9.3,9.3,9.3,9.3
10.905,f27c2278f5bdb77b,310.0000596938,310.00004776101,310.000034993962,310.000039992282,5.96938002104253e-05,4.77610101938808e-05,3.4993961719465e-05,3.99922820406573e-05,9.3,9.3,9.3,9.3
10.91,f27c2278f5bdb77b,310.000057619679,310.000045622616,310.000032885323,310.000037874031,5.76196789552341e-05,4.56226158007667e-05,3.28853229234483e-05,3.78740313635717e-05,9.3,9.3,9.3,9.3
10.915,f27c2278f5bdb77b,310.000055346436,310.000043278347,310.000030584235,310.000035549064,5.53464361701117e-05,4.32783467658737e-05,3.05842348211627e-05,3.5549063511553e-05,9.3,9.3,9.3,9.3
10.92,f27c2278f5bdb77b,310.000052932335,310.000040788015,310.000028149252,310.000033076536,5.29323350519917e-05,4.07880150987694e-05,2.814925170469e-05,3.30765356579832e-05,9.3,9.3,9.3,9.3
10.925,f27c2278f5bdb77b,310.00005043944,310.000038215388,310.000025642554,310.000030519594,5.04394400877572e-05,3.82153882583225e-05,2.56425543057048e-05,3.05195941336933e-05,9.3,9.3,9.3,9.3
10.93,f27c2278f5bdb77b,310.000047932046,310.000035626576,310.000023128375,310.000027943777,4.79320464137345e-05,3.56265757091023e-05,2.3128375005399e-05,2.79437774679536e-05,9.3,9.3,9.3,9.3
10.935,f27c2278f5bdb77b,310.000045475047,310.000033088349,310.000020671365,310.000025415352,4.54750465337384e-05,3.30883489709777e-05,2.06713650641177e-05,2.5415351672109e-05,9.3,9.3,9.3,9.3
10.94,f27c2278f5bdb77b,310.000043132275,310.000030666438,310.000018334944,310.000022999621,4.3132275266089e-05,3.0666438078697e-05,1.83349444000669e-05,2.29996206826399e-05,9.3,9.3,9.3,9.3
10.945,f27c2278f5bdb77b,310.000040964875,310.000028423849,310.000016179678,310.000020759254,4.09648754953196e-05,2.84238486756294e-05,1.61796781981138e-05,2.0759254425684e-05,9.3,9.3,9.3,9.3
10.95,f27c2278f5bdb77b,310.000039029727,310.000026419241,310.000014261719,310.000018752679,3.9029727020079e-05,2.64192407257724e-05,1.42617187748328e-05,1.87526786135095e-05,9.3,9.3,9.3,9.3
10.955,f27c2278f5bdb77b,310.000037377978,310.000024705413,310.000012631356,310.000017032565,3.73779775486582e-05,2.47054133524216e-05,1.26313557871072e-05,1.70325652675274e-05,9.3,9.3,9.3,9.3
10.96,f27c2278f5bdb77b,310.000036053715,310.000023327932,310.00001133171,310.000015644465,3.6053715007256e-05,2.33279324675095e-05,1.13317101977373e-05,1.56444654066945e-05,9.3,9.3,9.3,9.3
10.965,f27c2278f5bdb77b,310.000035092815,310.000022323938,310.000010397607,310.000014625618,3.50928152101915e-05,2.23239378556173e-05,1.03976067862277e-05,1.46256181778881e-05,9.3,9.3,9.3,9.3
10.97,f27c2278f5bdb77b,310.000034521995,310.000021721161,310.000009854654,310.000014003967,3.45219945643294e-05,2.17211613176005e-05,9.8546542517397e-06,1.40039667826386e-05,9.3,9.3,9.3,9.3
10.975,f27c2278f5bdb77b,310.000034358093,310.000021537181,310.000009718557,310.000013797409,3.43580932735676e-05,2.15371811123077e-05,9.71855740772298e-06,1.37974094513993e-05,9.3,9.3,9.3,9.3
10.98,f27c2278f5bdb77b,310.000034607608,310.000021778933,310.00000999468,310.000014013302,3.46076077448743e-05,2.17789325915874e-05,9.99467988549441e-06,1.40133021773181e-05,9.3,9.3,9.3,9.3
10.985,f27c2278f5bdb77b,310.000035266487,310.000022442489,310.000010677869,310.000014648231,3.52664865204133e-05,2.24424888983776e-05,1.06778692270382e-05,1.46482308309714e-05,9.3,9.3,9.3,9.3
10.99,f27c2278f5bdb77b,310.000036320193,310.000023513119,310.00001175255,310.000015688056,3.63201929758361e-05,2.35131188333071e-05,1.17525500513693e-05,1.56880558392913e-05,9.3,9.3,9.3,9.3
10.995,f27c2278f5bdb77b,310.000037744037,310.00002496562,310.000013193083,310.000017108232,3.77440372290039e-05,2.49656202413462e-05,1.31930834754712e-05,1.71082316455795e-05,9.3,9.3,9.3,9.3
11,f27c2278f5bdb77b,310.000039503769,310.000026764923,310.000014964385,310.000018874393,3.95037685052557e-05,2.6764923063638e-05,1.49643851727888e-05,1.887439333359e-05,9.3,9.3,9.3,9.3
11.005,f27c2278f5bdb77b,310.000041556414,310.000028866946,310.000017022787,310.000020943196,4.15564138620539e-05,2.88669457972901e-05,1.70227867783979e-05,2.09431956932349e-05,9.3,9.3,9.3,9.3
11.01,f27c2278f5bdb77b,310.000043851342,310.000031219687,310.00001931712,310.000023263386,4.38513418998809e-05,3.12196868321735e-05,1.93171198361597e-05,2.32633857422115e-05,9.3,9.3,9.3,9.3
11.015,f27c2278f5bdb77b,310.000046331528,310.000033764522,310.000021789995,310.000025777081,4.63315276988396e-05,3.37645215608973e-05,2.17899949461753e-05,2.57770810208058e-05,9.3,9.3,9.3,9.3
11.02,f27c2278f5bdb77b,310.000048934984,310.000036437674,310.000024379245,310.000028421221,4.89349841359399e-05,3.64376740549233e-05,2.43792447918167e-05,2.84212214864965e-05,9.3,9.3,9.3,9.3
11.025,f27c2278f5bdb77b,310.000051596327,310.000039171827,310.000027019494,310.000031129161,5.15963265570463e-05,3.91718265859708e-05,2.70194943823299e-05,3.11291607317798e-05,9.3,9.3,9.3,9.3
11.03,f27c2278f5bdb77b,310.000054248429,310.000041897825,310.000029643819,310.000033832354,5.42484294783208e-05,4.18978250991131e-05,2.96438186069281e-05,3.3832353778962e-05,9.3,9.3,9.3,9.3
11.035,f27c2278f5bdb77b,310.000056824134,310.000044546439,310.000032185446,310.000036462101,5.68241340488385e-05,4.45464390850248e-05,3.21854460594295e-05,3.6462100524659e-05,9.3,9.3,9.3,9.3
11.04,f27c2278f5bdb77b,310.000059257963,310.00004705013,310.000034579465,310.0000389513,5.92579630733781e-05,4.70501304903337e-05,3.45794647955699e-05,3.89512995866426e-05,9.3,9.3,9.3,9.3
11.045,f27c2278f5bdb77b,310.000061487799,310.000049344785,310.000036764487,310.000041236169,6.14877991438334e-05,4.93447853955331e-05,3.67644867083072e-05,4.12361687835983e-05,9.3,9.3,9.3,9.3
11.05,f27c2278f5bdb77b,310.000063456484,310.000051371366,310.000038684228,310.000043257887,6.34564838151164e-05,5.13713662257942e-05,3.86842284001432e-05,4.32578866025324e-05,9.3,9.3,9.3,9.3
11.055,f27c2278f5bdb77b,310.000065113296,310.00005307744,310.000040288967,310.000044964114,6.51132955908906e-05,5.30774399862821e-05,4.02889673409845e-05,4.49641141244683e-05,9.3,9.3,9.3,9.3
11.06,f27c2278f5bdb77b,310.00006641527,310.000054418544,310.000041536835,310.000046310357,6.64152698277576e-05,5.44185438684508e-05,4.15368351696088e-05,4.63103571064494e-05,9.3,9.3,9.3,9.3
11.065,f27c2278f5bdb77b,310.000067328325,310.000055359353,310.000042394916,310.000047261133,6.73283246328538e-05,5.53593528707097e-05,4.23949159085169e-05,4.72611328632411e-05,9.3,9.3,9.3,9.3
11.07,f27c2278f5bdb77b,310.000067828165,310.000055874619,310.00004284012,310.000047790912,6.78281650721146e-05,5.58746189653903e-05,4.28401199314976e-05,4.77909115943476e-05,9.3,9.3,9.3,9.3
11.075,f27c2278f5bdb77b,310.000067900941,310.000055949855,310.000042859808,310.000047884807,6.79009405644138e-05,5.59498549819182e-05,4.28598083317411e-05,4.7884807202081e-05,9.3,9.3,9.3,9.3
11.08,f27c2278f5bdb77b,310.000067543637,310.000055581748,310.000042452155,310.000047538999,6.75436373285265e-05,5.55817480858423e-05,4.24521550144163e-05,4.75389991265729e-05,9.3,9.3,9.3,9.3
11.085,f27c2278f5bdb77b,310.000066764197,310.000054778288,310.000041626232,310.000046760873,6.67641968448152e-05,5.47782884154913e-05,4.16262321891736e-05,4.67608727490187e-05,9.3,9.3,9.3,9.3
11.09,f27c2278f5bdb77b,310.000065581354,310.000053558609,310.000040401819,310.000045568875,6.5581354135702e-05,5.35586089540629e-05,4.04018188078226e-05,4.55688745546468e-05,9.3,9.3,9.3,9.3
11.095,f27c2278f5bdb77b,310.0000640242,310.000051952542,310.000038808934,310.000043992084,6.40241999576574e-05,5.19525416393662e-05,3.88089342777675e-05,4.39920842154606e-05,9.3,9.3,9.3,9.3
