time_s,manifest_id,voltage_pu_DG1,voltage_pu_DG2,voltage_pu_DG3,frequency_deviation_pu_DG1,frequency_deviation_pu_DG2,frequency_deviation_pu_DG3,voltage_tracking_error_pu_DG1,voltage_tracking_error_pu_DG2,voltage_tracking_error_pu_DG3,frequency_tracking_error_pu_DG1,frequency_tracking_error_pu_DG2,frequency_tracking_error_pu_DG3
0.23,9e81ce3e9621f78a,0.977327496104987,1.02391006054762,0.987006543063211,0.00282959399951495,0.000358526136958496,0.000426206892233072,-0.0226725038950125,0.0239100605476201,-0.0129934569367892,0.00282959399951495,0.000358526136958496,0.000426206892233072
0.235,9e81ce3e9621f78a,0.976096995047245,1.02500089529162,0.986342066420288,0.00274806961474672,0.000431108361449931,0.000389741486475673,-0.0239030049527551,0.025000895291619,-0.0136579335797125,0.00274806961474672,0.000431108361449931,0.000389741486475673
0.24,9e81ce3e9621f78a,0.974876381082183,1.02608044528514,0.985682870253176,0.00266868894116328,0.000501611057362211,0.000354420686665459,-0.0251236189178168,0.0260804452851373,-0.0143171297468244,0.00266868894116328,0.000501611057362211,0.000354420686665459
0.245,9e81ce3e9621f78a,0.973666803242843,1.02714763410865,0.985029572896766,0.00259140431734099,0.000570071503864013,0.00032021721521149,-0.0263331967571566,0.0271476341086458,-0.0149704271032344,0.00259140431734099,0.000570071503864013,0.00032021721521149
0.25,9e81ce3e9621f78a,0.9724693932629,1.02820140418536,0.984382781682708,0.00251616909585731,0.000636526450631718,0.000287104457010708,-0.0275306067371001,0.0282014041853551,-0.0156172183172922,0.00251616909585731,0.000636526450631718,0.000287104457010708
0.255,9e81ce3e9621f78a,0.971285266210914,1.02924071633205,0.983743093006841,0.00244293761953628,0.000701012124704178,0.000255056442175581,-0.028714733789086,0.0292407163320476,-0.0162569069931592,0.00244293761953628,0.000701012124704178,0.000255056442175581
0.26,9e81ce3e9621f78a,0.970115521139057,1.03026454930931,0.983111092392283,0.00237166519829776,0.000763564237274865,0.000224047829237689,-0.0298844788609433,0.0302645493093066,-0.0168889076077172,0.00237166519829776,0.000763564237274865,0.000224047829237689
0.265,9e81ce3e9621f78a,0.968961241744081,1.03127189937371,0.982487354547979,0.0023023080865939,0.000824217990419187,0.000194053888815475,-0.0310387582559188,0.0312718993737107,-0.0175126454520206,0.0023023080865939,0.000824217990419187,0.000194053888815475
0.27,9e81ce3e9621f78a,0.96782349703792,1.03226177983488,0.981872443422466,0.00223482346141702,0.000883008083755196,0.000165050487734493,-0.0321765029620804,0.032261779834881,-0.0181275565775344,0.00223482346141702,0.000883008083755196,0.000165050487734493
0.275,9e81ce3e9621f78a,0.966703342024853,1.03323322062059,0.98126691225254,0.00216916940086307,0.000939968721036281,0.000137014073588643,-0.033296657975147,0.0332332206205941,-0.01873308774746,0.00216916940086307,0.000939968721036281,0.000137014073588643
