time_s,manifest_id,V_cl,comparison_envelope
0.575,9e81ce3e9621f78a,0.300509808138614,2.866102625521
0.58,9e81ce3e9621f78a,0.278903599012034,2.88966368345289
0.585,9e81ce3e9621f78a,0.258580545598761,2.91321296380047
0.59,9e81ce3e9621f78a,0.239589936985836,2.93675047245104
0.595,9e81ce3e9621f78a,0.221971592569951,2.96027621528899
0.6,9e81ce3e9621f78a,0.205756887248443,2.98379019819574
0.605,9e81ce3e9621f78a,0.190969765239248,3.0072924270498
0.61,9e81ce3e9621f78a,0.177627725916401,3.03078290772673
0.615,9e81ce3e9621f78a,0.165742770453047,3.05426164609913
0.62,9e81ce3e9621f78a,0.155322302782592,3.0777286480367
0.625,9e81ce3e9621f78a,0.146369982393858,3.10118391940618
0.63,9e81ce3e9621f78a,0.138886529792634,3.12462746607141
0.635,9e81ce3e9621f78a,0.132870488151216,3.14805929389325
0.64,9e81ce3e9621f78a,0.128318946814466,3.17147940872968
0.645,9e81ce3e9621f78a,0.125228234034452,3.19488781643571
0.65,9e81ce3e9621f78a,0.123594587670772,3.21828452286346
0.655,9e81ce3e9621f78a,0.123414813726542,3.24166953386208
0.66,9e81ce3e9621f78a,0.124686943595447,3.26504285527786
0.665,9e81ce3e9621f78a,0.127410901875683,3.2884044929541
0.67,9e81ce3e9621f78a,0.131589197662853,3.31175445273122
0.675,9e81ce3e9621f78a,0.137227653467263,3.33509274044671
0.68,9e81ce3e9621f78a,0.144336187416472,3.35841936193514
0.685,9e81ce3e9621f78a,0.152929666314668,3.38173432302817
0.69,9e81ce3e9621f78a,0.163028849562987,3.40503762955454
0.695,9e81ce3e9621f78a,0.174661447046729,3.42832928734008
0.7,9e81ce3e9621f78a,0.187863318042788,3.45160930220769
0.705,9e81ce3e9621f78a,0.202679843209573,3.47487767997738
0.71,9e81ce3e9621f78a,0.219167508061403,3.49813442646626
0.715,9e81ce3e9621f78a,0.237395744338833,3.5213795474885
0.72,9e81ce3e9621f78a,0.257449085796164,3.54461304885538
0.725,9e81ce3e9621f78a,0.279429707687392,3.56783493637528
0.73,9e81ce3e9621f78a,0.303460435346466,3.59104521585368
0.735,9e81ce3e9621f78a,0.329688327632191,3.61424389309314
0.74,9e81ce3e9621f78a,0.358288966806489,3.63743097389332
0.745,9e81ce3e9621f78a,0.389471619135654,3.66060646405101
0.75,9e81ce3e9621f78a,0.423485472074939,3.68377036936008
0.755,9e81ce3e9621f78a,0.460627206791374,3.7069226956115
0.76,9e81ce3e9621f78a,0.501250232162884,3.73006344859335
0.765,9e81ce3e9621f78a,0.545775992285909,3.75319263409082
0.77,9e81ce3e9621f78a,0.59470786899343,3.77631025788621
0.775,9e81ce3e9621f78a,0.648648340210723,3.79941632575892
0.78,9e81ce3e9621f78a,0.708320231765496,3.82251084348547
0.785,9e81ce3e9621f78a,0.774593123391377,3.8455938168395
0.79,9e81ce3e9621f78a,0.848516248792333,3.86866525159174
0.795,9e81ce3e9621f78a,0.93135957398219,3.89172515351005
0.8,9e81ce3e9621f78a,1.02466515361566,3.9147735283594
0.805,9e81ce3e9621f78a,1.13031134863385,3.9378103819019
0.81,9e81ce3e9621f78a,1.25059301723547,3.96083571989676
0.815,9e81ce3e9621f78a,1.3883213016148,3.9838495481003
0.82,9e81ce3e9621f78a,1.54694698478995,4.006851872266
0.825,9e81ce3e9621f78a,1.73071130373325,4.02984269814442
0.83,9e81ce3e9621f78a,1.94482704492509,4.05282203148328
0.835,9e81ce3e9621f78a,2.19568975403416,4.0757898780274
0.84,9e81ce3e9621f78a,2.49111228877469,4.09874624351876
0.845,9e81ce3e9621f78a,2.84056293846166,4.12169113369644
0.85,9e81ce3e9621f78a,3.25536353960406,4.14462455429666
0.855,9e81ce3e9621f78a,3.74876288697559,4.16754651105278
0.86,9e81ce3e9621f78a,4.3357342701741,4.19045700969529
0.865,9e81ce3e9621f78a,5.03224640297817,4.21335605595182
0.87,9e81ce3e9621f78a,5.85362525477501,4.23624365554712
0.875,9e81ce3e9621f78a,6.81148766820617,4.25911981420309
0.88,9e81ce3e9621f78a,7.90867254282968,4.28198453763878
0.885,9e81ce3e9621f78a,9.1318125547673,4.30483783157037
0.89,9e81ce3e9621f78a,10.4419919932464,4.32767970171118
0.895,9e81ce3e9621f78a,11.765640647402,4.35051015377167
0.9,9e81ce3e9621f78a,12.9903208807514,4.37332919345947
0.905,9e81ce3e9621f78a,13.9721225498681,4.39613682647932
0.91,9e81ce3e9621f78a,14.5601798338851,4.41893305853315
0.915,9e81ce3e9621f78a,14.6365658206393,4.44171789532
0.92,9e81ce3e9621f78a,14.1579342312028,4.46449134253609
0.925,9e81ce3e9621f78a,13.1774499173133,4.48725340587478
0.93,9e81ce3e9621f78a,11.83203956559,4.51000409102658
0.935,9e81ce3e9621f78a,10.299758411108,4.53274340367917
0.94,9e81ce3e9621f78a,8.74949852178444,4.55547134951737
0.945,9e81ce3e9621f78a,7.305928742606,4.57818793422318
0.95,9e81ce3e9621f78a,6.03875270124893,4.60089316347572
0.955,9e81ce3e9621f78a,4.97092909745041,4.62358704295133
0.96,9e81ce3e9621f78a,4.09483915058379,4.64626957832345
0.965,9e81ce3e9621f78a,3.38768089443414,4.66894077526274
