time_s,manifest_id,sigma_V_DG1,sigma_V_DG2,sigma_V_DG3,sigma_omega_DG1,sigma_omega_DG2,sigma_omega_DG3,zeta_V_DG1,zeta_V_DG2,zeta_V_DG3,zeta_omega_DG1,zeta_omega_DG2,zeta_omega_DG3,boundary_margin,local_comparison,comparison_envelope
0.26,9e81ce3e9621f78a,-0.302913360121611,0.30676580864957,-0.171188387659091,0.0480878057197708,0.0154820034138852,0.00454278643210318,-0.312724187638339,0.316971317323225,-0.172890672906589,0.0481249239081584,0.0154832405648165,0.00454281768217954,0.119735450690693,0.341077856249197,1.35775307235366
0.265,9e81ce3e9621f78a,-0.314846694655078,0.317211599517564,-0.177642368608078,0.0467166219473031,0.0167243821471105,0.00393758863723941,-0.325916369579543,0.328543677021682,-0.179547175489982,0.0467506519707868,0.0167259417063852,0.00393760898767993,0.118728100626289,0.356588690039868,1.38206811654987
0.27,9e81ce3e9621f78a,-0.32663777917476,0.327503462073221,-0.184020769109951,0.0453825077391563,0.0179312244956248,0.00335167639246671,-0.339059815929675,0.34002919883949,-0.186141227234268,0.0454137024778004,0.0179331466682281,0.0033516889431657,0.117738220165119,0.37249034051909,1.40637100626286
0.275,9e81ce3e9621f78a,-0.33827649556871,0.337632005481977,-0.190318297984196,0.0440846093809026,0.0191032354968052,0.00278457363055107,-0.352145033039408,0.351417442569236,-0.192667408837288,0.044113201514407,0.0191055598099666,0.00278458082764025,0.116703342024853,0.388779298092204,1.43066174756834
0.28,9e81ce3e9621f78a,-0.349752814853042,0.347587956565855,-0.196529748173455,0.0428220922279467,0.0202411081912815,0.00223581654754487,-0.365162089558772,0.362697621883131,-0.199120304223975,0.042848295805177,0.0202438731482776,0.002235820273079,0.115601818381745,0.40545076117726,1.45494034653901
0.285,9e81ce3e9621f78a,-0.361056787387949,0.357362153117651,-0.202649995008901,0.0415941402903173,0.0213455237593205,0.00170495330207685,-0.378100572628323,0.373858580276623,-0.20549449736079,0.041618152180152,0.0213487665427232,0.00170495495410319,0.114519955137355,0.422498330339879,1.47920680924451
0.29,9e81ce3e9621f78a,-0.37217853311232,0.366945537409711,-0.208673994551626,0.0403999558247549,0.0224171516593058,0.00119154372166862,-0.390949544170068,0.384888768840749,-0.211784569564233,0.0404219570570145,0.0224209078792104,0.00119154428557766,0.113458769346224,0.439913665736358,1.50346114175147
0.295,9e81ce3e9621f78a,-0.38310823184642,0.376329149944339,-0.214596782015945,0.0392387589340368,0.0234566497680819,0.000695159015968003,-0.403697497556874,0.395776226190173,-0.217985097325347,0.0392589159386235,0.0234609532511771,0.000695159127945654,0.11241926675211,0.45768610680846,1.52770335012345
0.3,9e81ce3e9621f78a,-0.393836113717991,0.38550412349646,-0.220413470280848,0.0381097871734763,0.0244646645229446,0.000215381496784753,-0.416332315005304,0.406508560911101,-0.224090650671985,0.0381282529252638,0.0244695471385923,0.000215381500115211,0.111402442435357,0.475802253811379,1.55193344042102
0.305,9e81ce3e9621f78a,-0.404352449773546,0.394461677502679,-0.226119248496011,0.0370122951645335,0.0254418310650719,-0.000248195695191107,-0.428841226110596,0.41707293693049,-0.230095792090149,0.0370292102409987,0.0254473225848495,-0.000248195700287483,0.110409281438015,0.494245511607633,1.5761514187017
0.31,9e81ce3e9621f78a,-0.414647542843295,0.4031931128543,-0.231709380789047,0.0359455542154755,0.0263887733841996,-0.000695968857112097,-0.441210768023548,0.427456062244154,-0.235995076025204,0.0359610477735527,0.0263949013716265,-0.000695968969481556,0.109440759359887,0.512995597257758,1.60035729101998
0.315,9e81ce3e9621f78a,-0.424711718735162,0.411689807155178,-0.237179205080763,0.0349088519490229,0.0273061044643539,-0.00112832398426581,-0.453426747857152,0.437644181475374,-0.241783048982842,0.0349230426271937,0.027312894191774,-0.00112832446309491,0.10849784291808,0.532028014316704,1.62455106342733
0.32,9e81ce3e9621f78a,-0.434535317840663,0.419943210508192,-0.242524132015349,0.0339014919369273,0.0281944264304625,-0.00154563702406972,-0.465474208004993,0.447623072765749,-0.247454250248634,0.0339144886881162,0.0282019008202877,-0.00154563825491058,0.107581490461947,0.551313498431825,1.6487327419722
0.325,9e81ce3e9621f78a,-0.444108687242884,0.427944841896894,-0.247739644012493,0.0329227933414247,0.0290543306956686,-0.00194827412390476,-0.477337395152464,0.457378049525006,-0.253003213243534,0.0329346962018682,0.0290625102834063,-0.00194827658897854,0.106692652434703,0.570817440857215,1.6729023327
0.33,9e81ce3e9621f78a,-0.453422173424341,0.435686286231078,-0.252821294448375,0.031972090563518,0.0298863981091777,-0.00233659187292818,-0.488999733863858,0.466893967583973,-0.258424467530984,0.0319829913623952,0.0298953010258702,-0.00233659612527573,0.105832271772315,0.590499298860824,1.69705984165313
0.335,9e81ce3e9621f78a,-0.462466115680073,0.4431591921267,-0.257764706972538,0.0310487328980503,0.0306911991044677,-0.00271093753800926,-0.500443805730897,0.476155238303099,-0.26371254148912,0.0310587159123136,0.0307008410763611,-0.00271094417909663,0.105001284229682,0.610312004700891,1.72120527487097
0.34,9e81ce3e9621f78a,-0.471230840348612,0.4503552704916,-0.262565574967461,0.030152084195539,0.0314692938476939,-0.00307164929393531,-0.511651335167833,0.485145848185385,-0.268861965659135,0.0301612267540583,0.0314796882111298,-0.00307165895435711,0.104200618623503,0.630201387859273,1.74533863838987
0.345,9e81ce3e9621f78a,-0.479706655980401,0.457266293988703,-0.267219661157561,0.0292815225307511,0.0322212323861184,-0.00341905644803784,-0.522603183030882,0.493849385524962,-0.273867276777878,0.029289895571584,0.0322323901158088,-0.00341906977099417,0.103431196980733,0.65010562848518,1.76945993824319
0.35,9e81ce3e9621f78a,-0.487883849569565,0.463884097447602,-0.271722797374094,0.0284364398780157,0.032947554796388,-0.00375347965939189,-0.533279349320214,0.502249074588399,-0.278723022499517,0.0284441084623353,0.0329594845453858,-0.00375349728664403,0.102693934581061,0.669954763431152,1.79356918046124
0.355,9e81ce3e9621f78a,-0.495752683980259,0.470200579293665,-0.276070884482172,0.0276162417932792,0.0336487913324812,-0.00407523115274356,-0.543658986285057,0.510327817772889,-0.283423766807291,0.027623265579233,0.0336614994823026,-0.00407525371278097,0.101989739881516,0.689670269718646,1.81766637107133
0.36,9e81ce3e9621f78a,-0.503303396703063,0.476207704060711,-0.280259892475769,0.026820347102929,0.0343254625731377,-0.0043846149273229,-0.553720423289811,0.518068246111369,-0.287964096112253,0.0268267807824592,0.0343389532926244,-0.00438464302549894,0.101319514311106,0.709164753569139,1.84175151609776
0.365,9e81ce3e9621f78a,-0.510526200079463,0.481897506048943,-0.284285860746131,0.0260481875994235,0.0349780795685709,-0.00468192696070062,-0.563441204803574,0.525452778397987,-0.292338626031226,0.0260540813008584,0.0349923548802049,-0.00468196117111701,0.100684151923347,0.72834177604233,1.86582462156182
