time_s,manifest_id,active_power_W_DG1,active_power_W_DG2,active_power_W_DG3,active_power_W_DG4,normalized_power_DG1,normalized_power_DG2,normalized_power_DG3,normalized_power_DG4,sharing_error
10.605,f27c2278f5bdb77b,256.438851583377,303.287174512619,322.130404333066,343.143569570938,0.512877703166754,0.505478624187699,0.495585237435486,0.490205099387054,0.0226726037797005
10.61,f27c2278f5bdb77b,256.438856570885,303.287279965029,322.130286120419,343.143577343667,0.51287771314177,0.505478799941715,0.495585055569875,0.490205110490953,0.0226726026508177
10.615,f27c2278f5bdb77b,256.438861318534,303.287386083312,322.130167400027,343.143585198127,0.512877722637068,0.505478976805519,0.495584872923119,0.49020512171161,0.022672600925458
10.62,f27c2278f5bdb77b,256.438865824503,303.287492865987,322.130048173135,343.143593136375,0.512877731649006,0.505479154776645,0.495584689497131,0.490205133051964,0.022672598597042
10.625,f27c2278f5bdb77b,256.438870086772,303.287600311473,322.129928441078,343.143601160677,0.512877740173544,0.505479333852456,0.495584505293966,0.490205144515253,0.0226725956582915
10.63,f27c2278f5bdb77b,256.438874103178,303.287708418114,322.129808205255,343.143609273453,0.512877748206355,0.50547951403019,0.495584320315777,0.490205156104933,0.0226725921014223
10.635,f27c2278f5bdb77b,256.43887787147,303.287817184211,322.129687467108,343.143617477211,0.51287775574294,0.505479695307018,0.495584134564781,0.490205167824588,0.022672587918352
10.64,f27c2278f5bdb77b,256.438881389376,303.287926608051,322.129566228088,343.143625774485,0.512877762778752,0.505479877680086,0.495583948043212,0.490205179677836,0.0226725831009156
10.645,f27c2278f5bdb77b,256.43888465466,303.288036687946,322.12944448963,343.143634167765,0.51287776930932,0.505480061146576,0.495583760753276,0.490205191668235,0.0226725776410853
10.65,f27c2278f5bdb77b,256.438887665188,303.288147422254,322.129322253125,343.143642659433,0.512877775330375,0.505480245703757,0.495583572697116,0.49020520379919,0.0226725715311855
10.655,f27c2278f5bdb77b,256.438890418983,303.288258809417,322.129199519896,343.143651251704,0.512877780837965,0.505480431349029,0.495583383876763,0.490205216073863,0.0226725647641027
