time_s,manifest_id,qV_difference_DG1,qV_difference_DG2,qV_difference_DG3,qV_difference_DG4,qomega_difference_DG1,qomega_difference_DG2,qomega_difference_DG3,qomega_difference_DG4,protected_command_difference,protected_voltage_state_difference,forced_weight_difference_norm,strict_construction_margin
0.245,f27c2278f5bdb77b,-7.89033063495689e-10,1.87458390824013e-11,1.42035526406754e-11,2.25186752925155e-11,3.2859721616884e-13,7.37448405292718e-13,1.39098259820114e-13,7.4981470685187e-13,-4.26546499076447e-10,-5.00510743961513e-12,0.00172531555810185,3.1493531429999e-06
0.25,f27c2278f5bdb77b,-7.29888303442616e-10,1.94130988411326e-11,1.50415894204035e-11,2.38077168656509e-11,6.04391889183833e-13,9.76849514906092e-13,2.77723265391938e-13,1.0146696850788e-12,-3.73131278912781e-10,-5.1467718975573e-12,0.00177702795401835,2.68370210377102e-06
0.255,f27c2278f5bdb77b,-6.68402536227117e-10,2.28656016646941e-11,1.80264539731932e-11,2.82623699833853e-11,8.17417680309789e-13,1.1784627635715e-12,3.71013875004322e-13,1.23363493899353e-12,-3.20022325696681e-10,-5.23114884742881e-12,0.0017959465521532,2.28690044666254e-06
0.26,f27c2278f5bdb77b,-6.12133604005125e-10,2.33657531257397e-11,1.86895536481886e-11,2.92068788858985e-11,8.65296258310919e-13,1.23009615731265e-12,3.95458297185181e-13,1.2879367711216e-12,-2.73127217240501e-10,-5.26156895830354e-12,0.00180726459671543,1.94876824764615e-06
0.265,f27c2278f5bdb77b,-5.62186613234372e-10,2.00875618222573e-11,1.64366787324885e-11,2.57748227058471e-11,7.97976478460454e-13,1.17601555663788e-12,3.62400322424794e-13,1.22541386760044e-12,-2.30166378903211e-10,-5.27489163459904e-12,0.00179839421320072,1.6606308898947e-06
0.27,f27c2278f5bdb77b,-5.09820887112725e-10,2.02087193550485e-11,1.67600770772675e-11,2.61642441653359e-11,7.27131577876478e-13,1.12469571416501e-12,3.27231189194144e-13,1.16567085844954e-12,-1.90170089673828e-10,-5.21160892219541e-12,0.0017564974710248,1.41509641761071e-06
0.275,f27c2278f5bdb77b,-4.63462540480769e-10,1.70041543779559e-11,1.45329222560244e-11,2.2737058546704e-11,6.51344673726142e-13,1.06246391892717e-12,2.87946424516738e-13,1.09444116096202e-12,-1.5276335882039e-10,-5.15187892347058e-12,0.00167368292636771,1.20586572656769e-06
0.28,f27c2278f5bdb77b,-4.18981779717713e-10,1.39488112358387e-11,1.23814587461813e-11,1.94230975704077e-11,7.03827146846144e-13,1.10812840023802e-12,3.22474577423015e-13,1.14301667089589e-12,-1.19177055485538e-10,-5.05440134190849e-12,0.00155459652174705,1.02757120143382e-06
0.285,f27c2278f5bdb77b,-3.7204996375384e-10,1.46006250438448e-11,1.30341545119973e-11,2.02861947617809e-11,4.47272291903208e-13,8.98734428891879e-13,1.78704707282096e-13,9.09176380015086e-13,-8.87453721620801e-11,-4.88808993281964e-12,0.00138591401658616,8.7563834787717e-07
0.29,f27c2278f5bdb77b,-3.38030600743628e-10,6.55357049823748e-12,7.07497577775822e-12,1.12224561241159e-11,2.16349155387693e-13,6.82285554009371e-13,8.75343634382242e-14,6.7034832545998e-13,-6.04505701138486e-11,-4.77085038141922e-12,0.00115317461021947,7.46169681282082e-07
